backbone,baseline,last_acc,last_f1,bwt,fwt
bert_frozen,one,0.6674,0.6167,0.0000,0.0000
bert,one,0.6588,0.6085,0.0000,0.0000
bert_frozen,ewc,0.6520,0.6043,-0.0149,0.1497
bert,mtl,0.6700,0.5990,0.0000,0.0000
bert_frozen,a-gem,0.6513,0.5936,-0.0215,-0.0149
bert_frozen,ncl,0.6388,0.5872,-0.0389,-0.0187
bert_frozen,hat,0.6273,0.5723,-0.0029,-0.0074
bert_frozen,mtl,0.6176,0.5601,0.0000,0.0000
bert,hat,0.3279,0.2025,-0.1214,0.0205
bert,ewc,0.3169,0.2003,-0.3156,0.1014
bert,ncl,0.3406,0.1608,-0.1502,-0.0285
bert,a-gem,0.2490,0.1194,-0.2593,0.0031
